title,artist,genre,year,bpm,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,20,4,83
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,25,23,82
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,11,14,80
Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,1,4,79
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,3,4,78
Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,5,14,77
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,1,9,77
Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,8,4,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,75,3,76
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,14,4,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6,47,235,4,3,73
Marry You,Bruno Mars,pop,2010,145,83,62,-5,10,48,230,34,4,73
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,70,63,213,19,5,73
Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,11,71,221,2,4,73
Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12,78,217,2,45,72
OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36,33,269,21,3,72
Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,11,83,202,6,3,71
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,60,44,308,8,7,70
Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,36,37,274,1,5,69
Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,9,76,187,2,10,69
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,32,40,284,1,7,68
Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,6,45,227,2,5,66
Take It Off,Kesha,dance pop,2010,125,68,73,-5,9,74,215,1,3,66
Misery,Maroon 5,pop,2010,103,81,70,-5,22,73,216,1,4,65
All The Right Moves,OneRepublic,dance pop,2010,146,95,53,-4,28,65,238,27,5,65
Animal,Neon Trees,indie pop,2010,148,83,48,-6,38,74,212,1,4,65
Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61,-5,5,88,203,3,5,64
I Like It,Enrique Iglesias,dance pop,2010,129,94,65,-3,6,73,231,3,9,63
Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,13,59,228,3,4,63
California Gurls,Katy Perry,dance pop,2010,125,75,79,-4,18,40,235,1,5,62
A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,11,16,285,32,3,81
Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,90,3,80
Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30,53,252,20,16,79
Just the Way You Are,Bruno Mars,pop,2011,109,84,64,-5,9,43,221,3,4,78
Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,14,3,76
Run the World (Girls),Beyoncé,dance pop,2011,127,90,73,-4,37,76,236,1,14,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,72,-4,32,62,201,2,5,76
Love On Top,Beyoncé,dance pop,2011,94,75,65,-5,60,65,267,9,9,76
Grenade,Bruno Mars,pop,2011,110,56,71,-7,12,23,223,16,6,75
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,69,-5,16,81,200,9,12,75
What the Hell,Avril Lavigne,canadian pop,2011,150,93,58,-4,14,88,221,1,5,74
Born This Way,Lady Gaga,dance pop,2011,124,83,59,-5,33,49,260,1,16,73
Monster,Kanye West,chicago rap,2011,125,69,63,-6,67,10,379,1,20,73
Marry You,Bruno Mars,pop,2011,145,83,62,-5,10,48,230,34,4,73
Best Thing I Never Had,Beyoncé,dance pop,2011,99,65,55,-4,9,30,254,15,3,73
Party Rock Anthem,LMFAO,dance pop,2011,130,74,75,-4,27,35,262,3,16,72
We R Who We R,Kesha,dance pop,2011,120,82,74,-5,12,65,205,2,4,72
Price Tag,Jessie J,australian pop,2011,175,83,64,-4,27,68,223,4,18,72
Good Life,OneRepublic,dance pop,2011,95,69,63,-8,13,65,253,9,5,72
Just Can’t Get Enough,The Black Eyed Peas,dance pop,2011,94,63,66,-9,11,26,219,20,18,71
On The Floor,Jennifer Lopez,dance pop,2011,130,78,73,-5,7,57,285,12,5,69
What's My Name?,Rihanna,barbadian pop,2011,100,79,69,-3,8,58,263,24,7,69
Yeah 3x,Chris Brown,dance pop,2011,130,88,71,-3,9,70,242,1,4,69
Without You (feat. Usher),David Guetta,dance pop,2011,128,61,61,-4,16,40,208,24,3,68
Sexy And I Know It,LMFAO,dance pop,2011,130,86,71,-4,19,80,199,11,32,67
The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,58,-6,11,36,321,1,4,67
E.T.,Katy Perry,dance pop,2011,152,87,62,-5,37,76,230,3,18,66
Till the World Ends,Britney Spears,dance pop,2011,132,71,69,-6,20,45,238,3,7,65
